skill,skill_aliases
apply finish to concrete,application of finish to concrete|applying finish to concrete|concrete finishing|concrete polishing|concrete staining|finish concrete|finishing concrete|polish concrete|polishing concrete|polishing of concrete|stain concrete|staining concrete
apply first response,administer first aid|administer first response|apply emergency medical first aid|apply hyperbaric accident or urgency medical first aid|apply medical first aid in case of emergency|applying medical first aid in case of emergency|deal with medical emergencies|deliver first aid|deliver first response|handle medical emergencies|handle medical emergencies without doctor|implement first aid|implement first response|manage medical emergencies|manage pre-hospital emergency care of trauma|manage pre-hospital emergency trauma care|medical first aid applying in case of emergency|provide pre-hospital emergency care of trauma|provide pre-hospital emergency trauma care|undertake first aid|undertake first response
apply fish harvest methods,applying fish harvest methods|carry out humane harvesting practices|fish harvest methods applying|fish harvest methods using|practice humane harvesting practices|use fish harvest methods|use humane harvesting practices|using fish harvest methods
apply fish treatments,administer fish treatments|administering fish treatments|applying fish treatments|fish treatment administering|fish treatment applying|fish treatments administering|fish treatments applying
apply fishery biology to fishery management,apply fish biology to fishery management|applying fish biology to fishery management|applying fishery biology to fishery management|fishery biology applying to fishery management|manage fishery using biological knowledge|managing fishery using biological knowledge|use biological knowledge in fishery management|using biological knowledge in fishery management
apply fishing maneuvres,apply maneuvres in fishing|applying fishing maneuvres|applying maneuvres in fishing|conduct fishing maneuvres|conduct maneuvres in fishing|conducting fishing maneuvres|conducting maneuvres in fishing|fishing maneuvres applying|fishing maneuvres conducting
apply flame handling regulations,apply flame handling laws|apply flame handling ordinances|apply flame handling rules|apply flame handling statutes|applying flame handling regulations
apply floor adhesive,application of floor adhesive|apply adhesive to floor|applying floor adhesive|floor adhesive application|glue underlay in place|gluing underlay in place|stick down underlay|sticking down underlay
apply flux,administer flux|administer solder cleanser|handle flux|handle solder cleanser|utilise flux use flux|utilise solder cleanser use solder cleanser
apply food technology principles,administer food technology principles|apply a food technology principle|applying food technology principles|employ food technology principles|implement food technology principles|utilise food technology principles
apply foot casts,administer the application of foot casts|apply foot and leg casts|apply foot cast|apply foot-casts|apply leg casts|build foot casts
apply footwear and leather goods quality control techniques,apply footwear quality control techniques|apply leather goods quality control techniques|apply quality control techniques for footwear and leather goods|perform footwear and leather goods quality control|perform footwear quality control|perform leather goods quality control
apply footwear bottoms pre-assembling techniques,apply footwear bottoms pre-assembling processes and techniques|apply footwear pre-assembling processes and techniques: bottoms|execute footwear bottoms pre-assembling techniques|execute pre-assembling techniques for footwear bottoms
apply footwear finishing techniques,apply footwear finishing processes and techniques|apply techniques for footwear finishing|execute footwear finishing techniques|execute footwear finishing techniques and processes|put into practice finishing processes and techniques
apply footwear uppers pre-assembling techniques,apply footwear pre-assembling processes and techniques: uppers|apply footwear uppers pre-assembling processes and techniques|execute footwear uppers pre-assembling techniques|uppers pre-assembling techniques for footwear bottoms
apply for external funding for physical activity,appeal for external funding for physical activity|apply for external funding for physical activities|apply for funding for physical activity|applying for external funding for physical activity|petition for external funding for physical activity|put in an application for external funding for physical activity
apply for government funding,applies for government funding|apply for government funds|applying for government funding|request government funding|seek government funding|solicit government funding
apply for library funding,apply for funding|apply for grants|apply for library grants|prepare applications for grants|prepare applications for research or project grants|prepare projects for funding opportunities
apply for patents,apply for patent|applying for patent|applying for patents|prepare patent application|request patents|submit patent applications
apply for refunds,administer refunds|apply for a refund|implement refunds|make refunds|refund applications|undertake refunds
apply for research funding,apply for research grants|draft research grants applications|generate research funding|identify research grants
apply for work permits,apply for work permit|applying for work permits|arrange work permits|provide work permits|supply work permits
apply foreign language for international trade,administer foreign language for international trade|apply a foreign language for international trade|apply foreign languages for international trade|employ foreign language for international trade|implement foreign language for international trade|utilise foreign language for international trade
apply foreign languages in hospitality,applying foreign languages in hospitality|exploit foreign language skills in tourism|use foreign languages in hospitality sector
apply foreign languages in social services,apply a foreign language in social services|apply foreign languages in social service|apply foreign languages in social services environment|communicate in foreign languages in social services|talk to social service users in foreign language
apply foreign languages in tourism,applied foreign languages in tourism|apply foreign languages to tourism|exploit foreign language skills in tourism|use foreign languages among guests
apply forest legislation,apply forestry legislation|applying forest legislation|applying forestry legislation|forest legislation applying|forest legislation implementing|forestry legislation applying|forestry legislation implementing|implement forest legislation|implement forestry legislation|implementing forest legislation|implementing forestry legislation
apply freinet teaching strategies,applies freinet teaching strategies|apply freinet teaching strategy|applying freinet teaching strategies|employ freinet teaching strategies|implement freinet teaching strategies|use freinet teaching strategies
apply frequency management,carry out frequency management|conduct frequency management|ensure appropriate frequency capacity in radio communications|execute frequency management|manage communication frequencies|manage frequency capacity in radio communications|manage radio communication channels|manage radio communication frequencies|perform frequency management|practice frequency management
apply gaming psychology,apply psychological elements to gaming|apply psychology to gaming|use gaming psychology
apply glaze coating,applying glaze coating|coat with glaze|coating with glaze|dip into glaze coating|dipping into glaze coating|glaze coating applying
apply gmp,administer gmp|applying gmp|employ gmp|implement gmp|utilise gmp
apply good clinical practices,apply good clinical practice|apply good clinical trial practice|employ good clinical practices|meet good clinical practice standards
apply grammar and spelling rules,adhere to grammar and spelling rules|apply grammar and spelling|applying grammar and spelling rules|follow grammar and spelling rules|respect grammar and spelling rules
apply haccp,administer haccp|applying haccp|employ haccp|implement haccp|utilise haccp
apply hair cutting techniques,apply hair cut techniques|apply hair cutting technique|applying hair cutting techniques|give hair cuts|use hair cutting techniques
apply health and safety standards,administer health and safety standards|apply a health and safety standard|applying health and safety standards|employ health and safety standards|health and safety standard applications|implement health and safety standards|utilise health and safety standards
apply health and safety when picking,apply health and safety precautions when picking|applying health and safety precautions when picking|applying health and safety when picking|health and safety applying when picking|health and safety implementing when picking|implement health and safety precautions when picking|implement health and safety when picking|implementing health and safety precautions when picking|implementing health and safety when picking
apply health psychological measures,apply a health psychology measure|apply health psychological measure|apply health psychology measures|implement health psychological measures|implement health related psychological measures|use health psychological measures
apply holistic approach within social services,apply a holistic approach in social services|apply holistic approach within social service|consider all dimensions of social service users' situations|have a holistic approach in social services|work with a holistic approach within social services
apply horticultural standards and practices,apply standards and practices in horticulture|applying horticultural standards and practices|applying standards and practices in horticulture|horticultural standards and practices applying|horticultural standards and practices implementing|implement horticultural standards and practices|implement standards and practices in horticulture|implementing horticultural standards and practices|implementing standards and practices in horticulture
apply house wrap,application of house wrap|applying house wrap|fix house wrap|fixing house wrap|fixing of house wrap|house wrap application|house wrap fitting
apply hygiene standards,attend to cleanliness|attend to hygiene|care for hygiene|conform to hygienic work practices|follow hygienic work practices|identify hygiene risks|look after hygiene
apply hypno-psychotherapy,apply hypnose|apply hypnosis psychotherapy|hypnotise a psychotherapy patient|hypnotize a psychotherapy patient
apply ict system usage policies,administer ict system usage policies|follow ethical standards for ict system usage|follow written laws for ict system usage|handle ict system usage policies|implement ict system usage policies
apply ict systems theory,follow the principles of ict systems theory|follow the theoretical principles for ict systems|implement principles for ict systems|implement theoretical notions for ict systems|implement theoretical principless for ict systems
apply ict terminology,provide consistent terminology
apply immigration law,administer immigration entry procedures|administer immigration law|employ immigration entry procedures|employ immigration law|implement immigration entry procedures|implement immigration law|utilise immigration entry procedures|utilise immigration law
apply import strategies,apply strategies for importing|carry out import operations according to import strategy|carry out import strategy application|conduct import strategy application activities|employ import strategies|employ importing strategies|execute import strategy|implement import strategies|implement strategies for importing|perform import operations according to import strategy
apply information security policies,apply data protection|comply with data protection regulations|data protection regulations|data security|ensure cia|ensure confidentiality principles|information security policy|protect data|protect information|secure data
apply insulation strips,application of insulation strips|applying insulation strips|fit insulation strips|fitment of insulation strips|fitting insulation strips|insulation strip application|insulation strip fitment
apply intercultural teaching strategies,applies intercultural teaching strategies|apply intercultural teaching strategy|applying intercultural teaching strategies|employ intercultural teaching strategies|implement intercultural teaching strategies|use intercultural teaching strategies
apply isopropyl alcohol,administer hazardous substances safely|administer isopropyl alcohol safely|apply isopropyl alcohol safely|handle hazardous substances safely|handle isopropyl alcohol safely|use hazardous substances safely|use isopropyl alcohol safely|utilise hazardous substances safely|utilise isopropyl alcohol safely
apply knowledge of human behaviour,administer knowledge of human behaviour|apply a knowledge of human behaviour|apply knowledge of human behavior|apply the knowledge of human behaviour|applying knowledge of human behaviour|employ knowledge of human behaviour|implement knowledge of human behaviour|utilise knowledge of human behaviour
"apply knowledge of philosophy, ethics and religion",act according to ethical and religious values|apply philosophical school of thoughts|assess the consequences and impact of ideas|evaluate the moral and ethical consequences of actions|follow ethical values and religious believes
"apply knowledge of science, technology and engineering",carry out measurements|demonstrate scientific literacy|demonstrate technical abilities|take on new technology
apply knowledge of social sciences and humanities,demonstrate interest in politics|demonstrate knowledge of european history|demonstrate social knowledge|understand the role of social movements in society
apply latest sport science findings,apply latest findings of sport science|apply sport science latest findings|identify recent sport science findings|implement recent findings related to sports science
apply liquid chromatography,applying liquid chromatography|carry out liquid chromatography|carrying out liquid chromatography|liquid chromatography applying
apply machine cutting techniques for footwear and leather goods,apply machine cutting techniques and processes for footwear and leather goods|apply machine cutting techniques for footwear|apply machine cutting techniques for footwear and leatherwear|apply machine cutting techniques for leather goods|carry out machine cutting techniques for footwear and leather goods|execute machine cutting techniques for footwear and leather goods|perform machine cutting techniques and processes for footwear and leather goods|perform machine cutting techniques for footwear and leather goods|perform machine cutting techniques for footwear and leatherwear
apply massage oil,administer massage oil|apply massage oil on clients|apply massage oil on patients|cover client with massage oil|cover patient with massage oil|put massage oil on client|put massage oil on patient
apply massage therapy,apply massage therapy techniques|employ massage therapy|implement massage therapy treatments|perform massage therapy|relieve pain through application of massage therapy|relieve pain through use of massage therapy|treat pain through use of massage therapy|treat patients with massage therapy|use massage therapy|use massage therapy techniques|utilise massage therapy|utilise massage therapy techniques
apply measures to prevent snow removal safety hazards,apply measure to prevent snow removal safety hazards|apply measures to prevent snow removal safety hazard|apply measures to prevent snow removal safety risks|applying measures to prevent snow removal safety hazards|take steps to prevent snow removal safety dangers
apply medical first aid on board ship,administer first aid on board ship|administer medical first aid on board ship|administering medical first aid on board ship|apply first aid on board ship|applying medical first aid on board ship|medical first aid on board ship administering|medical first aid on board ship applying
apply medical imaging techniques,apply medical imaging technique|apply medical imaging-techniques|make use of medical imaging techniques|perform x-ray and ultrasound examinations|use medical imaging techniques
apply methods for footwear and leather goods manufacturing,apply methods for footwear and leather goods production|apply methods for footwear and leatherwear manufacturing|apply methods for footwear manufacturing|apply methods for leather goods manufacturing|organise technical operations for footwear and leather goods manufacturing|organise technical operations for footwear and leather goods production|organize technical operations for footwear and leather goods manufacturing|organize technical operations for footwear and leather goods production
apply military aviation regulations,administer military aviation processes and procedures|administer military aviation regulations|implement military aviation processes and procedures|implement military aviation regulations|utilise military aviation processes and procedures|utilise military aviation regulations
apply montessori teaching strategies,applies montessori teaching strategies|apply montessori teaching strategy|applying montessori teaching strategies|employ montessori teaching strategies|implement montessori teaching strategies|use montessori teaching strategies
apply music therapy assessment methods,apply assessment methods in music therapy|apply music therapy assessment method|apply music therapy assessment procedure|apply music therapy assessment procedures|carry out music therapy assessment|use music therapy assessment methods
apply music therapy methods,apply a related science to music therapy|apply music therapy materials|apply music therapy techniques|apply philosophical basis of music as therapy|apply physiological basis of music as therapy|apply related science to music therapy|apply related sciences to music therapy|apply sociological basis of music as therapy|use music therapy methods|work with music therapy materials
apply music therapy termination methods,apply music therapy termination method|apply music therapy termination techniques|apply termination methods in music therapy|conclude music therapy sessions methodologically|decide on music therapy termination methods
apply music therapy treatment methods,administer music therapy treatment method|administer music therapy treatment methods|apply music therapy treatment program|apply music therapy treatment programmes|apply music therapy treatment technique|apply music therapy treatment techniques|practice music therapy treatment method|practice music therapy treatment methods|use intervention techniques in music therapy|utilize music therapy treatment method|utilize music therapy treatment methods
apply nail polish,add finger nail polish|add nail polish|apply nail polishes|applying nail polish
apply navy operation procedures,administer naval operational exercises|administer navy operation procedures|employ naval operational exercises|employ navy operation procedures|implement naval operational exercises|implement navy operation procedures|utilise naval operational exercises|utilise navy operation procedures
apply numeracy skills,administer numeracy skills|apply a numeracy skill|applying numeracy skills|employ numeracy skills|implement numeracy skills|numeracy skills application|utilise numeracy skills
apply nursing care in long-term care,apply nursing care in long term care|apply nursing care in long-term-care|integrate principles of nursing care in long-term-care|promote nursing care in long-term care
apply opaque,administer opaque|apply opaques'|applying opaque|employ opaque|undertake opaque|use opaque
apply operations for an itil-based environment,administer operations for an itil-based environment|apply an operation for an itil-based environment|applying operations for an itil-based environment|applying operations for itil-based environments|employ operations for an itil-based environment|implement operations for an itil-based environment|utilise operations for an itil-based environment
apply optical coating,apply coating to optics|applying coating to optics|applying optical coating|coat lenses|coating lenses|lens coating|lenses coating|optical coating applying
apply organisational techniques,administer organisational techniques|apply an organisational technique|apply organizational techniques|applying organisational techniques|employ organisational techniques|implement organisational techniques|organisational techniques application|utilise organisational techniques
apply paper coating,administer paper coating|apply paper coatings|applying paper coating|employ paper coating|undertake paper coating|use paper coating
apply permanent make-up,apply permanent make up|applying permanent make-up|extreme make-up|put on permanent make-up|tattoo
apply person-centred care,apply patient-centred care|apply patient-focused care|apply person-centered care|apply person-focused care|employ person-centred care|use person-centred care
apply phosphate coating to metal workpiece,add phosphate coating to metal workpiece|add protective layer to metal surfaces|administer phosphate coating to metal workpiece|administer protective layer to metal surfaces|paint phosphate coating to metal workpiece|paint protective layer to metal surfaces|utilise phosphate coating on a metal workpiece
apply plastic resin layers,apply layers made of plastic resin|apply layers of plastic resin|apply synthetic resin|cover with plastic resin|employ plastic resin layers|overlay with plastic resin|use plastic resin layers|use synthetic resin|utilise plastic resin layers
apply polishing lubricants,administer buffing coatings|administer polishing lubricants|employ buffing coatings|employ polishing lubricants|implement buffing coatings|implement polishing lubricants|utilise buffing coatings|utilise polishing lubricants
apply pre-stitching techniques,apply footwear pre-stitching processes and techniques|apply footwear pre-stitching techniques|apply leather goods pre-stitching processes and techniques|apply leather goods pre-stitching techniques|apply leatherwear pre-stitching techniques|operate footwear pre-stitching machines|operate leather goods pre-stitching machinery|operate leatherwear pre-stitching machinery|operate leatherwear pre-stitching machines|operate pre-stitching machinery|operate pre-stitching machines
apply pre-teaching methods,applies pre-teaching methods|apply pre-teaching method|applying pre-teaching methods|employ pre-teaching methods|implement pre-teaching methods|use pre-teaching methods
apply precision farming,applying precision farming|precision farming applying|precision farming methods using|use precision farming methods|using precision farming methods
apply precision metalworking techniques,administer precise metal operating processes|administer precision metalworking techniques|employ precise metal operating processes|employ precision metalworking techniques|handle precise metal operating processes|handle precision metalworking techniques|implement precise metal operating processes|implement precision metalworking techniques
apply preliminary treatment to workpieces,add pre production treatment to pieces of work|add preliminary treatment to workpieces|administer pre production treatment to pieces of work|administer preliminary treatment to workpieces|paint pre production treatment to pieces of work|paint preliminary treatment to workpieces|utilise phosphate coating on a metal workpiece
apply prescribed herbicides,apply herbicides as prescribed|applying prescribed herbicides|prescribed herbicides applying|prescribed herbicides spraying|spray herbicides as prescribed|spray prescribed herbicides|spraying prescribed herbicides
apply preservation treatments,administer preservation treatments|apply a preservation treatment|applying preservation treatments|employ preservation treatments|implement preservation treatments|utilise preservation treatments
apply prespotting,apply pre-spotting|applying prespotting|applying stain remover before dry cleaning|using topical products to remove stain prior to dry cleaning
apply primer,use flat coat|use primer|use primer coat|use undercoat|utilise primer|utilise primer coat|utilse ground
apply problem solving in social service,apply problem solving in social services|apply problem-solving in social services|apply problem-solving techniques in social services|step-by-step problem solving process in social service
apply procedures and regulations for eco-labelling,comply with protocols for sustainable labeling|enforce eco-labeling protocols|enforce standards for eco-labelling|identify regulations for eu eco-labelling|implement protocols and rules for eco-labeling
apply procedures to ensure cargo complies with customs regulations,apply procedures to ensure that cargo complies with customs standards|conduct customs compliance activities for cargo|conduct customs compliance assurance processes for cargo|ensure cargo complies with customs regulations|implement procedures to ensure cargo complies with customs regulations|perform activities to ensure cargo customs compliance|perform tasks to ensure cargo customs compliance|undertake procedures to ensure cargo complies with customs regulations|undertake procedures to ensure cargo meets customs regulations
apply proofing membranes,apply damp-proofing membranes|apply waterproofing membranes|applying damp-proofing membranes|applying proofing membranes|applying waterproofing membranes|install damp-proofing membranes|install waterproofing membranes|installing damp-proofing membranes|installing proofing membranes|installing waterproofing membranes
apply psychoanalysis,administer psychoanalysis|apply psychoanalysis on clients|apply psychoanalysis on patients|conduct psychoanalysis|conduct psychoanalysis on clients|conduct psychoanalysis on patients|exercise psychoanalysis|implement psychoanalysis|practice psychoanalysis
apply psychological intervention strategies,apply psychological intervention strategy|apply psychological intervention technique|use psychological intervention strategies
apply publicity code,apply the code of publicity|apply the publicity code|implement the publicity code regulations|put the publicity code into practice
apply quality standards in social services,apply quality standards in social service|apply quality-standards in social-services|maintain quality standards in social services|uphold social work values and principles
apply quality standards in youth services,adhere to quality criteria in youth services|apply quality measures in youth services|enforce quality benchmarks in youth services|implement quality criteria in youth services|maintain quality standards in youth services
apply quality standards to the interaction with candidates,apply quality criteria for candidate engagement|enforce quality criteria for candidate engagement|enforce quality standards to the interaction with candidates|implement quality criteria for candidate engagement|implement quality standards to the interaction with candidates
apply radiation protection procedures,apply procedures for radiation protection|apply radiation protection procedure|enforce radiation protection regulation|enforce radiation protection regulations|ensure application of radiation protection procedures
apply radiological health sciences,apply radiological health science|apply radiological health science methods|apply scientific methods in radiology|use radiological health sciences
apply regulations on cargo transport operations,apply cargo transport operations regulation|apply cargo transport operations regulations|employ accepted standards in freight transport operations|employ freight transport operations standards|implement cargo transport operations regulation|implement cargo transport operations regulations|implement regulations on cargo transport operations|practice cargo transport operations in accordance with defined standards|practice freight transport operations in accordance with codes|practice freight transport operations in accordance with regulations
apply regulations regarding the sale of alcoholic beverages,administer regulations regarding the sale of alcoholic beverages|apply regulations regarding the sale of an alcoholic beverages|apply the regulations regarding the sale of alcoholic beverages|applying the regulations regarding the sale of alcoholic beverages|employ regulations regarding the sale of alcoholic beverages|implement regulations regarding the sale of alcoholic beverages|utilise regulations regarding the sale of alcoholic beverages
apply requirements concerning manufacturing of food and beverages,administer requirements concerning manufacturing of food and beverages|apply requirements concerning the manufacture of food and beverages|apply requirements concerning the manufacturing of food and beverages|employ requirements concerning manufacturing of food and beverages|implement requirements concerning manufacturing of food and beverages|utilise requirements concerning manufacturing of food and beverages
apply research ethics and scientific integrity principles in research activities,adhere to scientific research code of ethics|follow scientific research code of conduct|obey scientific research code of conduct
apply restoration techniques,apply restoration methods|apply restorative techniques|apply techniques for restoration|implement restoration methods
apply reverse engineering,extract information by applying reverse engineering
apply risk management in sports,apply management of risks to sports|apply risk management to sports|implement risk management practices to sports|manage risks in sports
apply risk management processes,adopt processes of risk management|adopt risk management processes|adopting processes of risk management|adopting risk management processes|apply processes of risk management|applying processes of risk management|applying risk management processes|risk management processes adopting|risk management processes applying
apply road transport environmental measures,apply road transport environmental strategies|apply road transportation environmental measures|apply road transportation environmental strategies|carry out implementation of road transport environmental measures|ensure implementation of co² mitigation strategies in road transport|ensure implementation of co² mitigation strategies in road transportation|implement road transport environmental measures|implement road transportation environmental measures|mitigate co² emissions in road transport through application of environmental measures|mitigate emission of co² through application of road transport environmental measures
apply roll roofing,application of asphalt roll roofing|application of roll roofing|apply asphalt roll roofing|apply roofing felt|applying asphalt roll roofing|applying roll roofing|applying roofing felt|asphalt roll roofing applying|felt roofing|roll roofing application
apply rubber patches,applying rubber patches|patch tyre|patching tyre|rubber patch applying|rubber patches applying|tyre patching
apply rubber sealant,apply rubber adhesive|apply rubber caulking|apply rubber sealants|employ rubber sealant|use rubber sealant|use rubber sealing material|utilse rubber sealant
apply safe work practices in a veterinary setting,apply safe work practice in a veterinary setting|apply safe work practices in a veterinary work environment|apply safe work practices in veterinary settings|identify hazards and associated risks in a veterinary work setting|use safe work practice in a veterinary setting
apply safety management,administer safety management|application of safety management|applying safety management|employ safety management|implement safety management|safety management application|utilise safety management
apply safety procedures in laboratory,apply safety procedure in laboratory|apply safety procedures in laboratories|comply with safety requirements of laboratories|comply with safety standards in laboratories|make sure laboratory safety procedures are applied
apply scientific methods,administer scientific methods|apply a scientific method|apply scientific methodology|employ scientific methods|implement scientific methods|utilise scientific methods
apply self-defence,apply self defence|apply self-defense|applying self-defence|employ self-defence techniques|use self-defence tactics
apply signalling control procedures,apply signaling control procedures|apply signalling control processes|conduct signalling control procedures|control railway signalling systems|execute signalling control procedures|execute signalling control processes|operate railway signalling control systems|operate railway signalling systems|operate railway signalling systems to ensure train safety|operate signalling control systems for railways|preform signalling control procedures
apply smithing techniques,administer artificing and blacksmithing skills|administer smithing techniques|employ artificing and blacksmithing skills|employ smithing techniques|use artificing and blacksmithing skills|use smithing techniques|utilise artificing and blacksmithing skills|utilise smithing techniques
apply social distancing protocols,apply social distancing guidelines|apply social distancing rules|enforce social distancing protocols|implement social distancing guidelines|implement social distancing protocols
apply social media marketing,administer social media marketing|application of social media marketing|applying social media marketing|employ social media marketing|implement social media marketing|social media marketing application|utilise social media marketing
apply socially just working principles,apply working principles within healthcare and social services|use socially just working principles|work in accordance with social principles
apply soldering techniques,administer oxyacetylene brazing techniques|administer soldering techniques|handle oxyacetylene brazing techniques|handle soldering techniques|use oxyacetylene brazing techniques|use soldering techniques|utilise oxyacetylene brazing techniques|utilise soldering techniques
apply specialised veterinary knowledge,administer veterinary specialised knowledge|apply specialized veterinary knowledge|apply veterinary specialised competence|apply veterinary specialised competences|apply veterinary specialised content|apply veterinary specialised knowledge|assimilate specialised veterinary knowledge|practice veterinary specialised knowledge|put veterinary specialised knowledge into use|use veterinary specialised knowledge|utilize veterinary specialised knowledge
apply specific manual chiropractic techniques,apply a specific manual chiropractic technique|apply specific manual techniques of chiropractic|decrease pain using specific manual chiropractic techniques|use specific manual chiropractic techniques
apply sport games rules,apply rules and laws during the sport competition|apply rules to sport games|apply sport rules to games|implement rules to sport competitions
apply sports massage,apply massage techniques on sports injuries|apply sport massage|apply sports massages|perform massage on sports injuries|perform sports massage
apply spot welding techniques,administer oxyacetylene brazing techniques|administer spot welding techniques|handle oxyacetylene brazing techniques|handle spot welding techniques|use oxyacetylene brazing techniques|use spot welding techniques|utilise oxyacetylene brazing techniques|utilise spot welding techniques
apply spray foam insulation,application of spray foam insulation|apply polyurethane spray foam insulation|applying polyurethane spray foam insulation|applying spray foam insulation|fill space with foam|filling space with foam|foam-fill space|spray foam insulation application
apply spraying techniques,administer spraying techniques|administer sprinkling and vaporising techniques|implement spraying techniques|implement sprinkling and vaporising techniques|operate spraying techniques|operate sprinkling and vaporising techniques|use spraying techniques|use sprinkling and vaporising techniques
apply statistical analysis techniques,apply jmp statistical analysis techniques|apply minitab statistical analysis techniques|apply numerical analysis to data
apply steiner teaching strategies,applies steiner teaching strategies|apply steiner teaching strategy|applying steiner teaching strategies|employ steiner teaching strategies|implement steiner teaching strategies|use steiner teaching strategies
apply stitching techniques,apply footwear stitching processes and techniques|apply footwear stitching techniques|apply leather goods stitching processes and techniques|apply leather goods stitching techniques|master footwear and leather goods stitching techniques|master footwear stitching techniques|master leather goods stitching techniques|master stitching techniques
apply strategic thinking,apply strategic thinking techniques|apply techniques for strategic thinking|move strategically|think strategically
apply supports for spinal adjustment,apply braces or tapes for spinal adjustment|apply support for spinal adjustment|apply supports for spinal adjustments|treat spinal conditions with supports|use supports for spinal adjustment|use supports for spinal adjustments
apply sustainability principles in health care,apply healthcare sustainability principles|apply sustainability principles in health-care|apply sustainability principles in healthcare|promote sustainability principles in health care|promote sustainability principles in healthcare|work according to sustainability principles in healthcare
apply sustainable tillage techniques,implement sustainable tillage
apply system organisational policies,adhere to organisational system guidelines|enforce organisational system policies|implement system regulations
apply systemic design thinking,apply combined system design|apply combined system thinking methodologies|apply combined systemic design|use system design|use systemic design
apply systemic therapy,apply a systemic therapeutical approach|apply systemic therapies|carry out systemic therapy|conduct systemic therapy|use a systemic therapy approach
apply tape,add tape|administer tape|apply tapes|applying tape|employ tape|use tape
apply teaching strategies,applies teaching strategies|apply teaching strategy|applying teaching strategies|employ teaching strategies|implement teaching strategies|use teaching strategies
apply technical communication skills,administer technical communication skills|application of technical communication skills|applying technical communication skills|employ technical communication skills|implement technical communication skills|utilise technical communication skills
apply techniques for stacking goods into containers,apply container good stacking techniques|apply goods stacking techniques for containers|apply techniques for stacking goods in containers|implement container goods piling techniques|implement piling techniques for container goods|use container goods loading techniques|use techniques for loading container goods|utilise techniques for stacking goods into containers
apply techniques of occupational therapy,apply occupational therapy techniques|apply processes of occupational therapy|perform occupational therapy
apply territory planning,administer territory planning|apply territorial planning|applying territorial planning|applying territory planning|employ territory planning|implement territory planning|utilise territory planning
apply the concept of flexible use of airspace,apply flexible use of airspace concept|apply the fua concept|employ principles of the flexible use of airspace concept in flight operations|employ principles of the fua concept in flight operations|employ the flexible use of airspace concept in aviation operations|employ the fua concept in aviation operations|ensure effective implementation of the flexible use of airspace concept|ensure effective implementation of the fua concept|implement the concept of flexible use of airspace|implement the flexible use of airspace concept|implement the fua concept
apply thermite welding techniques,application of thermite welding techniques|applying thermite welding techniques|thermite welding|thermite welding technique application|use thermite welder|use thermite welding equipment
apply thermotherapy,apply thermotherapy techniques|carry out thermotherapy treatments|employ thermotherapy|employ thermotherapy techniques|perform thermotherapy treatments|treat injuries through application of thermotherapy techniques|treat injuries using heating and cooling techniques|treat injuries using thermotherapy techniques|use thermotherapy techniques|utilise thermotherapy techniques
apply through-hole technology manually,apply tht manually|applying through-hole technology manually|applying tht manually|manually applying through-hole technology|manually applying tht|manually using through-hole technology|manually using tht|use through-hole technology manually|use tht manually|using through-hole technology manually|using tht manually
apply tile adhesive,application of tile adhesive|applying of tile adhesive|applying tile adhesive|tile adhesive application|tile adhesive use|use of tile adhesive|use tile adhesive|using tile adhesive
apply tobacco manufacturing requirements,administer tobacco manufacturing requirements|apply the tobacco manufacturing requirements|apply tobacco manufacture requirements|employ tobacco manufacturing requirements|implement tobacco manufacturing requirements|utilise tobacco manufacturing requirements
apply tools for content development,use content development tools|use language checkers|use language editing tools|use terminology management tools|use translation memory systems
apply tramway regulations,abide to regulations governing operation of trams|apply legal regulations for tramway operations|apply tram network regulations|comply with regulations applied to tramways|comply with regulations governing tram network|follow legal requirements of tramway operations|follow tram line regulations|understand tram grid regulations
apply transportation management concepts,apply concepts of transport management|apply concepts of transportation management|apply principles of transportation management|apply transport management concepts|apply transport management principles|apply transportation management principles|employ transport industry management concepts|employ transport industry management principles|implement transport industry management concepts|implement transport industry management principles|improve transportation processes through application of management concepts|improve transportation processes through application of management principles
apply various lifting techniques,application of various lifting methods|application of various lifting techniques|applying of various lifting methods|applying of various lifting techniques|applying various lifting methods|applying various lifting techniques|lifting method application|lifting technique application
apply vessel engine regulations,apply regulations on ship engines|apply regulations on vessel engines|apply ship engine regulations|ensure compliance with regulations on ship engines|ensure compliance with regulations on vessel engines|ensure that ship engines comply with regulations|ensure that vessel engines comply with regulations|implement ship engine regulations|implement vessel engine regulations|meet ship engine regulations|meet vessel engine regulations
apply veterinary epidemiology,analyse animal and zoonotic disease morbidity and mortality|analyze animal and zoonotic disease morbidity and mortality
apply wallpaper paste,application of wallpaper paste|applying wallpaper paste|pasting wallpaper|use wallpaper paste|using wallpaper paste|wallpaper paste application|wallpaper pasting|wallpaper pasting apply wallpaper paste
apply water transfer printing techniques,administer hydro drip transfer printing techniques|administer water transfer printing techniques|employ hydro drip transfer printing techniques|employ water transfer printing techniques|handle hydro drip transfer printing techniques|handle water transfer printing techniques|utilise hydro drip transfer printing techniques|utilise water transfer printing techniques
apply weaving techniques for wicker furniture,administer weaving techniques for wicker furniture|apply weaving technique for wicker furniture|handle weaving techniques for wicker furniture|use weaving techniques for wicker furniture|utilise weaving techniques for wicker furniture
