skill,skill_aliases
refrigerants,refrigeration cycle coolants|refrigeration fluids|refrigeration coolants|heating pump fluids|system coolants
manage clinical environments,conduct clinical environment management|supervise clinical environments|perform clinical environment management|maintain clinical environments and equipment|oversee clinical environments|maintain clinical environments|prepare clinical environments and equipment for use|manage clinical environments and equipment|ensure clinical environments are prepared for use
translate formulae into processes,translating formulae into processes|formulae productionising|formulae translating into processes|productionising formulae|productionise formulae
adjust paper bag machine,modify paper bag machine|tweak paper bag machine|adjust paper bag machines|adjusting paper bag machine|change paper bag machine|adapt paper bag machine
place orders for computer products,place orders for computer stock|place orders for computer commodities|place orders for computer merchandise|place an order for computer products|place order for a computer product|place orders for computer brands|place orders for computer goods|placing orders for computer products
install spindles,installing of spindles|spindle installation|installing spindles|fixing of spindle|installation of spindle|fitting spindle|fitting spindles|installing of spindle|installing spindle|fixing of spindles|fit spindles|installation of spindles|fitting of spindle|fitting of spindles|spindle fixing
provide nursing care in community settings,nursing care in communities|nursing practices in community settings|nursing in community situations
soldering techniques,soldering|soldering methods|soldering procedures|soldering practices|soldering systems
attach protective attachments to timber piles,attach protection to timber piles|fitting pile boots|fit pile boots|fitting pile points|attachment of protective attachments to timber piles|protect pile toe|protect pile head|attaching protective attachments to timber piles|attach protective attachments to lumber piles|attachment of protection to timber piles|fit pile points
microbiology-bacteriology,specialties of bacteria|classification and characteristics of bacteria|characteristics of micobioloy|principles of microbiology|bacteriology|micro-biology|microbiology|science of bacteria|study of microbiology|microbiology-bacteriologies|study of bacteria|study of microscopic organisms|bacteriology and microbiology
replace knives,switch knives|replacing knives|exchange knives|substitute knives|replace knife|swap out knives
develop management plans,developing management plans|prepare management plans|management plan preparing|management plans preparing|management plan developing|preparing management plans|management plans developing
observe fish disease symptoms,monitoring symptoms of fish disease|fish disease symptoms monitoring|monitor symptoms of fish disease|observe symptoms of fish disease|monitor fish disease symptoms|monitoring fish disease symptoms|observing fish disease symptoms|observing symptoms of fish disease|fish disease symptoms observing
financial products,financial instruments|fiscal products|monetary product|monetary products|financial securities|financial instrument|financial product
tend drawing kiln,drawing kiln tending|tending of drawing kiln|tending drawing kiln|operating drawing kiln|operating of drawing kiln|operate drawing kiln|drawing kiln operating
neurological surgery,neurological surgical intervention|surgical intervention on the nervous system|neurological surgeries
swaging processes,swaging measures|forge metal alteration machine measures|swaging mechanisms|forge metal alteration machine procedures|swaging procedures|forge metal alteration machine operations|swaging operations|forge metal alteration machine mechanisms
interpret religious texts,clarify religious texts|decipher religious texts|translate religious teachings|explain religious teachings|translate religious texts|explain religious texts|decipher religious teachings|clarify religious teachings
observe patient throughout dental treatment,observe patients throughout dental treatments|supervise patient throughout dental treatment|observe patient during dental treatment
manage sales teams,manage sales team|oversee sales teams|managing sales teams|direct sales teams|supervise sales teams
sales argumentation,sale argumentation|argumentation of sales|sales techniques|sales pitches|sales strategies|sales promotions
keep heavy construction equipment in good condition,maintaining heavy construction equipment|maintain heavy construction equipment|keeping heavy construction equipment in good condition|maintaining condition of heavy construction equipment|inspect heavy construction equipment|inspecting heavy construction equipment|repairing heavy construction equipment|maintain condition of heavy construction equipment|ensure condition of heavy construction equipment|repair heavy construction equipment
ophthalmological examination methods,method to control eyesight|ophthalmological examination technique|eye examination technique|ophthalmological examination techniques|eye examination method|eyesight examination method|technique to control eyesight|eye examination methods|eyesight examination methods|eye examination techniques
caulk expansion joints,caulking|fill expansion joints|seal expansion joints|caulking expansion joints|expansion joint caulking|expansion joint sealing|filling expansion joints|caulking of expansion joints|sealing expansion joints
perform pre-assembly quality checks,operate pre-assembly quality checks|perform a pre-assembly quality check|complete pre-assembly quality checks|implement pre-assembly quality checks|finish pre-assembly quality checks
monitor logging operations,monitoring operations in logging|logging operations monitoring|logging operations reviewing|operations reviewing in logging|monitoring logging operations|operations monitoring in logging|review logging operations|reviewing operations in logging|reviewing logging operations|review operations in logging|monitor operations in logging
conduct financial surveys,implement financial surveys|execute financial surveys|carry out financial surveys
conduct apple fermentation,conduct apple fermentations|organise apple fermentation|carry out apple fermentation|conduct of apple fermentation|manage apple fermentation|undertake apple fermentation
flute sizes,flute size|flute dimensions|flute types|flute measures
monitor feeding systems,monitoring feeding systems|feeding system monitoring|check feeding systems|feeding system checking|checking feeding systems|feeding systems checking|feeding systems monitoring
rehearse role,study role|practise role|prepare role|rehearsing role|rehearse roles
draw prop sketches,draw sketches of props|draft a sketch of props|draw and sketch props|outline sketches of props
cultural customs on food preparation,a cultural custom of food preparation|cultural customs on food supplies|cultural customs on food arrangements|food preparation cultural customs|cultural customs on food provision|cultural customs on food developments
develop calibration procedures,developing calibration procedures|calibration procedure developing|develop calibration protocols|calibration protocols developing|calibration protocol developing|developing calibration protocols|calibration procedures developing
select acupuncture points,select points for acupuncture|locate acupuncture points|select an acupuncture point|find acupuncture points
analyse transmitted communications,analysing transmitted communications|analyze transmitted communications|analyse electronic communications|interpreting transmitted communications|analysing electronic communications|interpret transmitted communications|transmitted communications analysing
liaise with specialist contractors for well operations,establish business relationships with specialist contractors|establishing business relationships with specialist contractors|creating business relationships with specialist contractors|create business relationships with specialist contractors|contractor liaison for well operations|liaison with specialist contractors for well operations|liaising with specialist contractors for well operations|establishment of business relationships with specialist contractors
perform gravity measurements,using gravity meters|making of geophysical measurements|use gravity meters|taking geophysical measurements|take geophysical measurements|make geophysical measurements|performing gravity measurements|performance of gravity measurements|performing of gravity measurements|making geophysical measurements|gravity measurement performance
screen clients,selectively choose clients|scan clients
set up photographic exhibitions,set up photography exhibition|put up photo exhibitions|organise photography exhibitions|set up photo exhibitions
install power lines,power lines installing|power lines commissioning|installing power lines|power line installing|commissioning power lines|power line commissioning
ensure escape routes,confirm escape routes visibility|secure escape routes|ensure routes for escape|ensure escape route|make sure escape routes are visible|ensuring escape routes
manage donor database,create and update donor database|handle donor database|manage donor databases|manage database of donors|create and update donor databases
identify emerging issues in humanitarian area,diagnose emerging issues in humanitarian area|analyse emerging issues in humanitarian area|analyse emerging issues in charitable and philanthropic area|establish emerging issues in charitable and philanthropic area|determine emerging issues in charitable and philanthropic area|diagnose emerging issues in charitable and philanthropic area|determine emerging issues in humanitarian area|establish emerging issues in humanitarian area
promote public transport,promote public transportation|have a pro-public transport attitude|engage in promotion of public transport|support public transportation systems|support public transport systems|advocate public transport|promote forms of public transport|promote forms of public transportation|carry out public transport promotion|endorse public transport|publically support systems of public transport|endorse public transportation
gather data for forensic purposes,compile data for forensic purposes|collect data for forensic purposes
statistical process control,quality control oversight|statistical process oversight|quality control jurisdiction|statistical process jurisdiction|quality control authority|quality control supervision|statistical process supervision|statistical process authority
undertake clinical audit,conduct clinical audit|undertake internal clinical audit|collect statistical data related to service delivery|collect statistical data related to clinical audit|lead clinical audit
conduct training on monitoring and evaluation frameworks,teach monitoring and evaluation frameworks|train staff on monitoring and evaluation frameworks
manage consumables stock,managing consumables stock|manage stocks of consumables|oversee consumables stock|keep watch on consumables stock
develop aquaculture hatchery business plan,developing aquaculture hatchery business plan|aquaculture hatchery business plans developing|aquaculture hatchery business plan developing|implement aquaculture hatchery business plan|implementing aquaculture hatchery business plan|aquaculture hatchery business plans implementing|aquaculture hatchery business plan implementing
prepare raw materials for man-made fibres manufacturing,pre-process man-made fibres|prepare to manufacture man-made fibres|prepare raw materials for man-made fibres fibers manufacturing|preparation of man-made fibres manufacturing|pre-processing of man-made fibres|prepare raw materials for man-made fibers manufacturing
ensure sanitation,safeguard sanitation|provide sanitation|secure sanitation|ensuring sanitation|ensure correct sanitation|ensure adequate sanitation|assure sanitation
compile library lists,compiling library lists|assemble library lists|put together library lists
make investment decisions,decide on investments|pass investment decisions|form investment decisions
post-process of fish,post-processing of fish|post measurement of fish|post producing of fish|post-process of a fish|post production of fish|post-process of fishes
rage (digital game creation systems),rage|rage|rage software framework|rage for digital game creation|rage software for digital game creation
assist students with library operations,aid students with library operations|assisting students with library operations|assists students with library operations|help students with library operations
apply primer,use primer|utilise primer|utilise primer coat|utilse ground|use flat coat|use primer coat|use undercoat
compaction techniques,methods for compaction|methods for road compaction|road compaction methods|techniques used in compaction|road compaction techniques|techniques for road compaction|methods used in compaction|techniques for compaction
operate cash register,run a cash point|process a cash point|operate cash point|operating a cash register|conduct a cash register|perform cash register|undertake cash register|run a cash register|operating cash registers|operate a cash register
maintain hammer mill,conserve hammer mill|repair hammer mill|maintain hammer mills|maintaining hammer mill|upkeep hammer mill|preserve hammer mill
create collection conservation plan,develop conservation measures for the collection|create a general conservation plan for the collection|create collection plan for conservation|create conservation plan for collection
assist passengers with timetable information,help passengers to identify the best train according to their destination and the railway timetable|assist passengers with information on timetables|assist passengers with information on rail timetables|assist passengers with railway timetable information|assist passengers with information on railway timetables|respond to passenger enquiries on railway timetables|respond to passenger enquiries on railway schedules|answer passenger enquiries on railway schedules|assist passengers with rail timetable information|help passengers to plan journeys utilising railway timetables
assess integrated domotics systems,appraise integrated domotics systems|choose domotic systems|evaluate integrated domotics systems
coach employees,train staff to improve performance|employee coaching|coach employees for performance|coach staff|train employees to improve performance
ruby (computer programming),ruby
procedural law,procedural rules and regulations|procedural laws|procedural statutes
adjust physiotherapy interventions,re-evaluat physiotherapy intervention|re-design physiotherapy interventions|alter physiotherapy intervention|change physiotherapy intervention|adjust physiotherapy intervention|alter physiotherapy interventions
represent special-interest groups' members,act for special-interest groups' constituents|speak on behalf of special-interest groups' constituents|act for special-interest groups' members|speak for special-interest groups' constituents|speak on behalf of special-interest groups' members|speak for special-interest groups' members
common lisp,common lisp programming language
follow time cues,following time cues|plan time cues|plot time cues|time cues to be followed
develop communication networks with shipping sites,facilitate the delivery of goods by developing relationships with shipping sites|develop communication processes with shipping sites|create communication networks with shipping sites|develop communication procedures with shipping sites|develop connections with shipping sites|facilitate the delivery of goods by communicating with shipping sites|establish relationships with shipping sites|facilitate the delivery of goods by collaborating with shipping sites|develop communication systems with shipping sites|establish communication networks with shipping sites
prepare animal materials for brush bristles,prepare animal material for brush bristles|prepare animal materials for brush bristle|develop animal materials for brush bristles|arrange animal materials for brush bristles|provide animal materials for brush bristles|supply animal materials for brush bristles
reinforce body mould,buttress body mould|reinforce a body mould|harness body mould|reinforce body moulds|strengthen body mould
collect weather-related data,gather weather-related data|assemble weather-related data|collecting weather-related data|compile weather-related data
optimise fleet usability,optimise fleet utilisation|optimise utilisation of fleet|optimise usability of fleet|ensure fleet is used optimally|optimize fleet usability|maximise fleet usability|maximise usability of fleet|ensure fleet is used to maximum capacity|ensure fleet is used as efficiently as possible|ensure fleet is used with optimal efficiency|ensure fleet optimisation
international regulations for cargo handling,international regulations governing the loading and unloading of cargo|international conventions on the loading and unloading of freight|international regulations for handling of shipments|international conventions on the loading and unloading of cargo|international regulations for handling of cargo|international regulations governing the loading and unloading of shipments|international regulations for shipment handling|international regulations governing the loading and unloading of freight|international conventions on the loading and unloading of shipments|international regulations for handling of freight|international regulations for freight handling
apply sustainable tillage techniques,implement sustainable tillage
footwear and leather goods marketing planning,leather goods marketing planning|marketing planning|marketing plan and strategy|footwear marketing planning|development and implementation of marketing plan and strategy|marketing planning for footwear and leather goods
communicate health and safety measures,communicate measures on health and safety|communicate about health and safety measures|inform about health and safety standards|provide information on health and safety
pathologies treated by acupuncture,pathologies treated through acupuncture|medical conditions treated by acupuncture|pathology treated by acupuncture|application of acupuncture techniques to medical conditions|disorders treated by acupuncture
coordinate dock operations,organise dock cargo placement|manage cargo dock operations|organise cargo shipment placement in dock|undertake dock coordination activities|coordinate cargo dock operations|perform dock coordination activities|conduct coordination activities at dock|coordinate wharf operations|coordinate harbour operations|manage dock operations
types of insulation material,insulation materials characteristics|typology of insulating materials|sorts of insulation materials|typology of insulation materials|insulation material types|characteristics of insulation materials|insulating materials types|kinds of insulation materials|types of insulating material
persuade clients with alternatives,sway clients with alternatives|persuade client with alternatives|convince clients with alternatives|persuade clients with alternative|coax clients with alternatives|persuading clients with alternatives
apache maven,maven
sew textile-based articles,sew made-up textile articles|sew textile-based products|sew made-up textile goods|sew textile-based goods|seam textile-based goods together|seam textile-based articles together|sew made-up textile products|seam textile-based products together
maintain flying harnesses,maintain harnesses for flying|operate artist flying movements|repair flying harnesses
precious metals,gold|silver|platinum
conduct literature research,review literature|conducting literature review|literature reviewing|literature review conducting|reviewing literature
position core workpieces,core workpiece positioning|position core workpiece|moving and positioning core workpieces|core workpiece moving and positioning|move and position core workpieces|core workpieces positioning|positioning of core workpiece|moving and positioning of core workpieces|positioning core workpieces|positioning of core workpieces
ask questions at events,asking questions at events|interview people at events|pose questions at events|ask questions at event
eject filled capsules,filled capsule ejecting|directing filled capsules|filled capsules ejecting|filled capsule directing|ejecting filled capsules|filled capsules directing|direct filled capsules
carry out makeover for customers,undertake makeover for customers|make makeover for customers|carry out a makeover for a customer|carrying out makeover for customers|complete makeover for customers|oversee makeover for customers|carry out a makeover for customers
prepare licence agreements,prepare license agreements|write licence agreements
repair heating equipment,overhaul boiler equipment|repair boilers and other heating equipment|reconstruct heating equipment|reconstruct boiler equipment|overhaul heating equipment|mend boiler equipment|adjust heating equipment|repair boilers|adjust boiler equipment|mend heating equipment
risk transfer,passing on risk|transfer of risk
calculate gear ratio,calculating gear ratio|gear ratio determination|gear ratio calculation|calculations of gear ratios|determination of gear ratio|determination of gear ratios|calculation of gear ratio|determining gear ratio|gear ratio calculations
gather data,convene data|collect data|data gavering|assemble data|aggregate data|gathering data
tend open pans,take care of open pans|look after open pans|watch open pans|tending open pans|tend an open pan|mind open pans|tending open pan
train horses,training equines|horse training|training horses|harness and train horses|dress and train equines|equine training
inspect semiconductor components,check semiconductor components|semiconductor component inspecting|inspecting semiconductor components|semiconductor components checking|checking semiconductor components|semiconductor component checking|semiconductor components inspecting
process customer requests based on the reach regulation 1907 2006,complete customer requests based on the reach regulation 1907 2006|processing of customer requests based on the reach regulation 1907 2006|address customer requests based on the reach regulation 1907 2006|deal with customer requests based on the reach regulation 1907 2006
marine engineering,ocean engineering|maritime engineering|knowledge of marine engineering
load film reels,prepare film reels|load film reel|ready film reels|loading film reels
conduct frisk,carry out body search|organise body search|undertake body search|manage frisk|undertake frisk|organise frisk|manage body search|carry out frisk
adopt ways to reduce pollution,reduce noise|prefer public to private transport|use public transportation|handle your own waste|prevent pollution
monitor waiting list,check waiting list|monitor waiting-lists|monitor waiting lists|track waiting list|monitor waiting-list|check list of waiting patients
develop gambling games,develop games to gamble|develop lottery games|develop betting games|develop games for gambling
deliver online training,deliver online training courses|conduct online training|deliver web-based trainings
assess management of animals,evaluate management of animals|assess animal management|assess management of animals in different facilities|evaluate welfare and housing environment of animals
operate cutting equipment,use cutting equipment|handle cutting equipment|utilise cutting equipment|operate equipment used for cutting|work cutting equipment|operating cutting equipment
handle the logistics of medicinal products,manage the logistics of a medicinal product|ensure storage and preservation of medicinal products|manage the logistic procedures of medicinal products|manage the logistics of medicinal products|administer the logistics of medicinal products
monitor developments in technology used for design,monitor developments in technology used for designs|keep watch on developments in technology used for design|keep updated on developments in technology used for design|monitor developments in design technology|track developments in technology used for design|monitoring developments in technology used for design
lift stacks of paper,move stacks of paper|lift stacks of papers|transport stacks of paper|carry stacks of paper|lifting stacks of paper
train staff on call quality assurance,educate staff on call quality assurance|training staff on call quality assurance|upskill staff on call quality assurance|teach staff on call quality assurance|instruct staff on call quality assurance
social work theory,theoretical framework of social work|social work theoretical framework|apply social work theory to practice|social work theories|development and characteristics of social work|fundamentals of social work
communicate with customers,provide customer service|supply customer service|respond to customer requests|respond to customers|engage with customers|help customers|assist customers|talk with customers|communicate with clients|interact with customers|interact with clients
ict network routing,ict network routing techniques|ict network processes|ict network routing processes|ict network techniques
internal risk management policy,risk management internal policy
geographic areas,operations in geographic regions|operations in specific areas|geographic ranges|geographic regions|geographical regions|geographical areas|operations in specific regions|operations in geographic areas
understand written sardinian,comprehend written sardinian|make sense of written sardinian|interpret written sardinian|read sardinian|comprehend written sardu|comprehend written sard|understand sardinian writing
assess ict knowledge,capture it knowledge|capture ict knowledge
test procedures in electricity transmission,test procedures in transmission of electricity|checking procedures in electricity transmission|check procedures in electricity transmission|testing procedures in electricity transmission
translate requirement concepts into content,obey content guidelines|adhere to content guidelines|abide by content guidelines|observe content guidelines|comply with content guidelines|follow content guidelines
apply first response,manage medical emergencies|provide pre-hospital emergency care of trauma|applying medical first aid in case of emergency|apply hyperbaric accident or urgency medical first aid|manage pre-hospital emergency care of trauma|administer first aid|apply medical first aid in case of emergency|provide pre-hospital emergency trauma care|deal with medical emergencies|handle medical emergencies without doctor|undertake first aid|manage pre-hospital emergency trauma care|undertake first response|apply emergency medical first aid|deliver first aid|implement first aid|implement first response|handle medical emergencies|administer first response|deliver first response|medical first aid applying in case of emergency
consumer goods industry,cpg|consumer packaged goods|consumer goods sector|consumer products industry
clean beer pipes,ensure beer pipes are washed clean|clean pipes of beer|wash beer tubes
materials used in stoneware manufacturing,fire-clay|clay|manufacturing materials for stoneware|non-refractory fire clay|materials for stoneware manufacture|stoneware manufacturing materials
restore teeths' natural colour,restore tooth's natural color|bleach teeth|restore tooth's natural colour|clean tooth|bring back teeths' natural colour|restore teeths' natural color|bring back natural color of teeth|polish teeth
deliver sophrology exercises,carry out sophrology exercises|implement sophrology exercises|execute exercises in sophrology|carry out sophrology activities|carry out sophrology sessions|execute sophrology exercises|deliver exercises in sophrology|implement exercises in sophrology|execute sophrology activities
sell consumer electronics,sell home electronics|selling consumer electronics|sell electronics|sell digital equipment|sell electronic equipment
lisp,lisp software development principles|lisp algorithms|lisp software development techniques|lisp programming paradigms|lisp coding techniques
develop electronic test procedures,developing electronic test protocols|electronic test protocols developing|develop electronic test protocols|developing electronic test procedures|electronic test procedure developing|electronic test procedures developing|electronic test protocol developing
tend canning machine,tend canning machines|watch canning machines|mind canning machines|look after canning machines|tend a canning machine|take care of canning machines
clean building facade,cleaning building facade|clean building facades|wash building veneer|wash building facade|clean building veneer|clean front side of building|clean building's facade|wash front side of building
maintain freelance database,repair database|conserve database|maintain databases|preserve database|maintain database|maintaining database|upkeep database
advise on mining environmental issues,advice giving on mining environmental issues|giving advice on mining environmental issues|giving of advice on mining environmental issues|give advice on mining environmental issues|give advice about mining environmental issues|advising on mining environmental issues|advising with regard to mining environmental issues|advising about mining environmental issues
identify customer requirements,write research applications|gather and define user requirements|categorise customer requirements
employ cognitive behaviour treatment techniques,apply cognitive behaviour treatment techniques|apply cognitive behaviour treatment|employ cognitive behavior treatment techniques|use cognitive behaviour treatment|use cognitive behaviour treatment techniques
items specialty available for auction,item available for auction|items available to auction|items available for auctions|articles available for auction|lots available for auction|goods available for auction
types of stone for working,characteristics of stone|workable stone|kinds of stone|sorts of stone|stones for working|building stone|characteristics of workable stone|types of workable stone|types of building stone
discern written communication,understand written communication|discern written communications|interpret written communication|discern communication written by hand
manage schedule of tasks,task scheduling|organise tasks|schedule tasks|organize tasks|task planning|assign and schedule tasks|task management|manage task scheduling|plan tasks|manage tasking
maintain personal hygiene standards,maintain personal hygienic standards|appear impeccable and smart|maintain personal standards of hygiene
provide domestic care,assess support needs of individuals in their homes|provide domestic care services|provide home care|provide home care services
set up stage decks,setting up stage decks|set up stage deck|install stage decks|place stage decks
history of theology,the study of the history of religion|historical religious studies
finnish,competent in finnish|ability to comprehend spoken and written finnish and to speak and write in finnish
work in outdoor conditions,work in bad weather|working in bad weather|coping with work in bad weather|working outdoors|working outdoors in adverse weather conditions|cope with work in bad weather|work outdoors in adverse weather conditions|working in outdoor conditions
digital game genres,mechanics of digital games
maintain catalogues of antiquarian goods,preserve catalogues of antiquarian goods|manage catalogues of antiquarian goods|control catalogues of antiquarian goods|sustain catalogues of antiquarian goods|maintain catalogs of antiquarian goods
automotive engineering,vehicle engineering|automotive technology|motor vehicle engineering|engineering of automobiles|engineering of automotives|designing automobiles|constructing automobiles|engineering of vehicles
manage event structure installation,manage events structure installation|manage structure installation for events|managing event structure installation|supervise event structure installation|oversee event structure installation
develop agricultural production plans,developing agricultural production plans|develop crop production plans|crop production plan developing|agricultural production plan developing|developing crop production plans
relationship marketing,relationship marketing strategies
analyse decentralised applications,analyse dapps
conduct sediment control,conducting sediment control|conducting of sediment control|sediment and erosion control conduct|sediment control conduct|conduct sediment and erosion control|conducting of sediment and erosion control|conduct of sediment control|conducting sediment and erosion control
assistive technology in education,assistive technology for learning purposes|digital devices for learning support|learning assistance technology|digital equipment for learning support|digital mainstream technologies for inclusive education
model power electronics,design power electronics systems|assess power electronics viability|simulate power electronics
provide anti-cancer medical treatment,provide anti-cancer medication and therapy|provide anti-cancer medical therapy|supply anti-cancer medical therapy|supply anti-cancer medical treatment|provide medical treatment against cancer|provide medical process against cancer
construct moulds,making moulds|make moulds|mould making|constructing of moulds|construction of moulds|make molds|making of molds|constructing moulds|mould construction|mold making|constructing molds|construction of molds|making of moulds|mold construction|making molds|constructing of molds
green computing,sustainable computing
musculoskeletal anatomy,musculoskeletal system and functions|musular anatomy|musculoskeletal functions and system|skeletal anatomy|muscular and skeletal anatomy
operate biogas plant,anaerobic digester operating|operating biogas plant|biogas plants operating|operating anaerobic digester|biogas plant operating|anaerobic digesters operating
assess trim of vessels,analyse the stability of ships in static condition|evaluate the stability of vessels in static condition|assess boat trim|assess vessel trim|evaluate the stability of boats in static condition|analyse the stability of boats in static condition|assess trim of boats|assess ship trim|analyse the stability of vessels in static condition|assess trim of ships|evaluate the stability of ships in static condition
detect malfunctions in train control systems,find faults in train control systems|analyse train control systems to find faults|assess train control systems to discover faults|recognise malfunctions in train control systems|identify faults in train control systems|recognise faults in train control systems|detect faults in train control systems|assess train control systems to find malfunctions|identify malfunctions in train control systems|analyse train control systems to identify malfunctions
building systems monitoring technology,building monitoring systems|building m&e systems|hvac systems|m&e systems|systems of building monitoring technology|lighting systems|building monitoring technology systems
write ukrainian,show competency in written ukrainian|correspond in written ukrainian
electronic test procedures,testing procedures for electronic systems|electronic test protocols|testing procedures for electronics|testing protocols for electronics|electronic testing procedures|protocols for electronic testing|electronic testing protocols|protocols for electronic systems testing|procedures for electronic testing|testing protocols for electronic systems|procedures for electronic systems testing
control animal movement,manipulate animal movement|handle movement of animals|perform animal handling|manipulate movement of animals|handle animals|conduct animal handling|control movement of animals|direct movement of animals|carry out animal handling activities|direct animal movement
execute vehicle maintenance,undertake vehicle maintenance|execution of vehicle maintenance|enact vehicle maintenance|achieve vehicle maintenance|vehicle maintenance execution|carry out vehicle maintenance|executing vehicle maintenance
set up tower crane,tower crane assembling|tower crane assembly|tower crane setting up|assembly of tower crane|assembling tower crane|assemble tower crane|setting up tower crane|tower crane set up|setting up of tower crane
sell services,collect money in exchange for services|accept payment for services|selling services
psychiatric diagnostics,diagnostic systems applied in psychiatry|medical diagnosis in psychiatry
parasitology,the study of parasitic organisms|the study of parasites|parasite studies
transfer uncut audiovisual material to computer,transfer unclipped audiovisual material to computer|transfer unedited audiovisual material to computer|transfer audiovisual uncut material to computer|transfer to computer uncut audiovisual material
use venepuncture procedure equipment,utilise venepuncture procedure equipment|use venepuncture procedure tools|use venepuncture equipment|use blood collection equipment|use venepuncture tools|handle venepuncture procedure equipment
place record labels,place record brand|place record mark|place record title|placing record label|place record label|place record tags
examine samples in dermatology,examine a sample in dermatology|examine dermatology samples|examine a dermatology sample|analyse dermatology samples|analyse samples in dermatology
treasury management system,treasury management
install frameless glass,frameless glass installing|frameless glass panel installation|installing frameless glass panels|frameless glass panel setting|setting of frameless glass panels|setting frameless glass|installing frameless glass|installation of frameless glass|frameless glass installation|installation of frameless glass panels|installing of frameless glass|frameless glass setting|setting frameless glass panels|setting of frameless glass
direct rigging equipment operators,rigging equipment operator guidance|rigging equipment operator direction|directing rigging equipment operators|guiding of rigging equipment operators|guiding rigging equipment operators|directions to rigging equipment operators|guidance to rigging equipment operators|guide rigging equipment operators|direction of rigging equipment operators|directing of rigging equipment operators
write research proposals,write research applications
apply conflict management,implement conflict management|administer conflict management|utilise conflict management|applying conflict management|conflict management application|employ conflict management|application of conflict management
business requirements techniques,business requirements identification
interact verbally in english,verbally interact in english|communicate verbally in english|speak english
care for food aesthetic,care of food aesthetics|maintain food aesthetics|caring for food aesthetics|care for food aesthetics|manage food aesthetics|preserve food aesthetics|look after food aesthetics
types of pallets,sorts of pallets|categories of pallets|kinds of pallets|type of pallet|varieties of pallets
apply export strategies,administer export strategies|apply an export strategy|employ export strategies|implement export strategies|utilise export strategies|applying an export strategy|export strategy application
understand spoken bosnian,comprehend spoken bosnian|make sense of spoken bosnian|interpret spoken bosnian|listen to bosnian|understand bosnian speech
advise on risk management,recommend on accident management|strategise on accident management|suggest on risk management|propose on risk management|recommend on risk management|propose on accident management|suggest on accident management|strategise on risk management
make legal decisions,produce legal decisions|take legal decisions|produce judicial decisions|hand down legal decisions|take judicial decisions|agree judicial decisions|agree legal decisions|hand down judicial decisions
informatica powercenter,powercenter informatica|informatica power center
rail construction engineering,specialist railroad construction engineering|construction engineering for railroads|railway construction engineering|railroad construction engineering|engineering for the construction of railways|specialist railway construction engineering|engineering for the construction of railroads|specialist rail construction engineering|construction engineering for railways
optimise production processes parameters,optimize production processes parameters|production processes parameters maintaining|maintain production processes parameters|production processes parameter maintaining|production processes parameter optimising|maintaining production processes parameters|optimising production processes parameters|production processes parameters optimising
prototyping in the wearing apparel industry,prototyping for wearing apparel and made-up textile|creating prototypes for the wearing apparel industry|creating prototypes for made-up textile articles|made-up textile prototyping|wearing apparel prototyping|prototyping for made-up textile|wearing apparel prototype making
interpret customer non-verbal communication,perceive non-verbal communication|intuit customer non-verbal communication|interpret customer body language|observe and understand non-verbal methods of communication|interpret non-verbal communication|intuit customer body language|interpret non-verbal communication used by customers|observe and understand non-verbal communication|comprehend non-verbal forms of communication|perceive non-verbal forms of communication
select mould types,selecting of mold types|choosing of mold types|mould type choice|choice of mold types|mold type selection|choosing mold types|choosing of mould types|selection of mold types|selecting of mould types|selecting mould types|selecting mold types|selection of mould types|choosing mould types|mold type choice|mould type selection|choice of mould types|select mold types
assist individuals with disabilities in community activities,assist disabled individuals to participate in community activities|facilitate disabled individuals' participatation in community activities|assist disabled individuals with community life participation|assist disabled individuals with community activity participation|enable disabled individuals to participate in community activities|facilitate disabled individuals' participatation in community life
buffing motions,polishing impetus|buffing impetus|buffing operation|buffing processes|polishing operation|polishing techniques|polishing processes|buffing techniques
identify learning disorders,identifying learning disorders|recognize learning disorders|identify learning delays|ascertain learning disorders|identify learning disorder|determine learning disorders
use questioning techniques,utilise questioning techniques|ask questions|prepare queries|able to use questioning techniques|make use of questioning techniques|ask open questions|ask closed questions|using questioning techniques|ask higher order questions|apply questioning techniques
manage art facilities staff,manage mediators|manage mediation staff|manage mediating staff|coordinate mediation staff
conduct analysis of ship data,perform data analysis activities on vessel data|use ship data analysis in decision making|conduct data analysis activities on ship data|evaluate ship data|conduct analysis of vessel data|perform analysis of vessel data|perform analysis of ship data|utilise vessel data analysis in decision making|analyse ship data
decide on make-up process,deciding on make-up process|decide on make-up processes|determine make-up process|select make-up process|choose make-up process
manage physiotherapy staff,recruit physiotherapy staff|manage physiotherapy-staff|manage staff of physiotherapy|manage physiotherapy personnel|supervise physiotherapy staff|develop physiotherapy staff
operate rotary vacuum-drum filter,control rotary vacuum-drum filter|run rotary vacuum-drum filter|use rotary vacuum-drum filter|operating rotary vacuum-drum filter|activate rotary vacuum-drum filter|operate rotary vacuum-drum filters|handle rotary vacuum-drum filter
communicate verbal instructions,give instructions utilising verbal communication|convey instructions verbally|provide instructions via verbal communication|give instructions using verbal communication|convey verbal instructions|transmit verbal instructions|communicate instructions verbally|communicate instructions orally|provide instructions through verbal communication|communicate spoken instructions
animal transport regulations,regulation of animal transportation|animal welfare during transportation|regulation of animal transport|regulation for safe animal transportation|animal welfare during transport|animal transportation regulation
